offer_ID,structure_type,floor,structure_age, insurance_amount ,water_damage,price,insurance_claim,mortgage,service_index,company,earthquake_cover,robbery_cover,,
18,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,615,ללא תביעות,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
19,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,736,ללא תביעות,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
20,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,980,ללא תביעות,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
21,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,183",ללא תביעות,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
22,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,198",ללא תביעות,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
23,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,214",ללא תביעות,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
24,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,295",ללא תביעות,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
25,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,330",ללא תביעות,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
26,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,348",ללא תביעות,לא,72,"מנורה מבטחים ביטוח בע""מ",כולל,כולל,,
27,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,435",ללא תביעות,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
28,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,644",ללא תביעות,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
29,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,655",ללא תביעות,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
30,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"2,331",ללא תביעות,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
31,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,279,ללא תביעות,לא,86,"איי. די. איי. חברה לביטוח בע""מ ",כולל,כולל,,
32,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,295,ללא תביעות,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
33,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,314,ללא תביעות,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
34,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,325,ללא תביעות,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
35,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,328,ללא תביעות,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
36,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,330,ללא תביעות,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
37,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,331,ללא תביעות,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
38,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,334,ללא תביעות,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
39,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,351,ללא תביעות,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
40,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,399,ללא תביעות,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
41,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,400,ללא תביעות,לא,72,"מנורה מבטחים ביטוח בע""מ",כולל,כולל,,
42,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,550,ללא תביעות,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
43,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,583,ללא תביעות,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
44,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,621,ללא תביעות,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
45,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,980,ללא תביעות,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
46,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,615,ב-12 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
47,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,626,ב-12 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
48,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,644,ב-12 חודשים אחרונים,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
49,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,664,ב-12 חודשים אחרונים,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
50,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,669,ב-12 חודשים אחרונים,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
51,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,697,ב-12 חודשים אחרונים,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
52,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,713,ב-12 חודשים אחרונים,לא,72,"מנורה מבטחים ביטוח בע""מ",כולל,כולל,,
53,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,733,ב-12 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
54,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,761,ב-12 חודשים אחרונים,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
55,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,785,ב-12 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
56,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,980,ב-12 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
57,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,982,ב-12 חודשים אחרונים,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
58,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,062",ב-12 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
59,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,330",ב-12 חודשים אחרונים,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
60,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,521",ב-12 חודשים אחרונים,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
61,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,509,ב-12 חודשים אחרונים,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
62,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,583,ב-12 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
63,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,615,ב-12 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
64,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,736,ב-12 חודשים אחרונים,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
65,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,980,ב-12 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
66,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,189",ב-12 חודשים אחרונים,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
67,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,198",ב-12 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
68,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,214",ב-12 חודשים אחרונים,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
69,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,307",ב-12 חודשים אחרונים,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
70,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,330",ב-12 חודשים אחרונים,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
71,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,348",ב-12 חודשים אחרונים,לא,72,"מנורה מבטחים ביטוח בע""מ",כולל,כולל,,
72,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,435",ב-12 חודשים אחרונים,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
73,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,687",ב-12 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
74,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,814",ב-12 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
75,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"2,331",ב-12 חודשים אחרונים,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
76,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,279,ב-12 חודשים אחרונים,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
77,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,307,ב-12 חודשים אחרונים,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
78,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,314,ב-12 חודשים אחרונים,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
79,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,325,ב-12 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
80,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,328,ב-12 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
81,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,330,ב-12 חודשים אחרונים,לא,76,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
82,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,331,ב-12 חודשים אחרונים,לא,79,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
83,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,334,ב-12 חודשים אחרונים,לא,74,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
84,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,351,ב-12 חודשים אחרונים,לא,80,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
85,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,400,ב-12 חודשים אחרונים,לא,72,"מנורה מבטחים ביטוח בע""מ",כולל,כולל,,
86,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,499,ב-12 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
87,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,550,ב-12 חודשים אחרונים,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
88,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,583,ב-12 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
89,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,664,ב-12 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
90,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,980,ב-12 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
91,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,615,ב-24 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
92,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,626,ב-24 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
93,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,644,ב-24 חודשים אחרונים,לא,86,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
94,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,664,ב-24 חודשים אחרונים,לא,84,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
95,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,667,ב-24 חודשים אחרונים,לא,77,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
96,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,697,ב-24 חודשים אחרונים,לא,78,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
97,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,713,ב-24 חודשים אחרונים,לא,72,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
98,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,733,ב-24 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
99,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,761,ב-24 חודשים אחרונים,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
100,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,766,ב-24 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
101,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,980,ב-24 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
102,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,982,ב-24 חודשים אחרונים,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
103,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,062",ב-24 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
104,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,330",ב-24 חודשים אחרונים,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
105,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,521",ב-24 חודשים אחרונים,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
106,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,509,ב-24 חודשים אחרונים,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
107,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,583,ב-24 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
108,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,615,ב-24 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
109,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,736,ב-24 חודשים אחרונים,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
110,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,980,ב-24 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
111,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,187",ב-24 חודשים אחרונים,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
112,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,198",ב-24 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
113,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,214",ב-24 חודשים אחרונים,לא,84,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
114,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,307",ב-24 חודשים אחרונים,לא,78,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
115,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,330",ב-24 חודשים אחרונים,לא,76,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
116,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,348",ב-24 חודשים אחרונים,לא,72,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
117,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,435",ב-24 חודשים אחרונים,לא,74,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
118,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,687",ב-24 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
119,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,795",ב-24 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
120,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"2,331",ב-24 חודשים אחרונים,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
121,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,279,ב-24 חודשים אחרונים,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
122,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,307,ב-24 חודשים אחרונים,לא,78,"שירביט חברה לביטוח בע""מ",כולל,כולל,,
123,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,314,ב-24 חודשים אחרונים,לא,84,"שומרה חברה לביטוח בע""מ",כולל,כולל,,
124,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,325,ב-24 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
125,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,328,ב-24 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
126,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,330,ב-24 חודשים אחרונים,לא,76,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
127,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,331,ב-24 חודשים אחרונים,לא,79,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
128,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,334,ב-24 חודשים אחרונים,לא,74,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
129,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,351,ב-24 חודשים אחרונים,לא,80,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
130,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,400,ב-24 חודשים אחרונים,לא,72,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
131,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,480,ב-24 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
132,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,550,ב-24 חודשים אחרונים,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
133,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,583,ב-24 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
134,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,664,ב-24 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
135,בית פרטי,null,1," 250,000 ",ללא כיסוי כלל,980,ב-24 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
136,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,615,ב-36 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
137,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,626,ב-36 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
138,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,644,ב-36 חודשים אחרונים,לא,86,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
139,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,664,ב-36 חודשים אחרונים,לא,84,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
140,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,665,ב-36 חודשים אחרונים,לא,77,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
141,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,697,ב-36 חודשים אחרונים,לא,78,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
142,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,713,ב-36 חודשים אחרונים,לא,72,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
143,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,733,ב-36 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
144,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,741,ב-36 חודשים אחרונים,לא,84,"איי אי ג'י ישראל חברה לביטוח בע""מ",כולל,כולל,,
145,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,761,ב-36 חודשים אחרונים,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
146,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,980,ב-36 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
147,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,982,ב-36 חודשים אחרונים,לא,74,"ש. שלמה חברה לביטוח בע""מ",כולל,כולל,,
148,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,062",ב-36 חודשים אחרונים,לא,71,"איילון חברה לביטוח בע""מ",כולל,כולל,,
149,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,330",ב-36 חודשים אחרונים,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
150,בית פרטי,null,1," 250,000 ",שרברב מטעם חברת הביטוח,"1,521",ב-36 חודשים אחרונים,לא,79,"הראל חברה לביטוח בע""מ",כולל,כולל,,
151,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,509,ב-36 חודשים אחרונים,לא,86,"איי. די. איי. חברה לביטוח בע""מ",כולל,כולל,,
152,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,583,ב-36 חודשים אחרונים,לא,73,"הכשרה חברה לביטוח בע""מ",כולל,כולל,,
153,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,615,ב-36 חודשים אחרונים,לא,null,"ליברה חברה לביטוח בע""מ",כולל,כולל,,
154,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,736,ב-36 חודשים אחרונים,לא,80,"ביטוח חקלאי - אגודה שיתופית מרכזית בע""מ",כולל,כולל,,
155,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,980,ב-36 חודשים אחרונים,לא,null,"ווישור חברה לביטוח בע""מ",כולל,כולל,,
156,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,185",ב-36 חודשים אחרונים,לא,77,"כלל חברה לביטוח בע""מ",כולל,כולל,,
157,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,198",ב-36 חודשים אחרונים,לא,81,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
158,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,214",ב-36 חודשים אחרונים,לא,84,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
159,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,307",ב-36 חודשים אחרונים,לא,78,"הפניקס חברה לביטוח בע""מ",כולל,כולל,,
160,בית פרטי,null,1," 250,000 ",שרברב לבחירת המבוטח,"1,330",ב-36 חודשים אחרונים,לא,76,"מגדל חברה לביטוח בע""מ",כולל,כולל,,
